Nom,Date et place de naissance,Date et place de naissance,Description
Émile-François Chatrousse,"6 mars 1829, Paris","14 décembre 1896, Paris",Sculpteur français
Emmanuel de Dieudonné,1845,1889,Peintre  suisse
Charles Lacroix,1869,1953,Peintre  français
Luc-Olivier Merson ,"21 mai 1846, Paris","13 novembre 1920, Paris","Peintre, illustrateur français"
Frédéric-Étienne Leroux,"1836, Écouché (Orne)","1906, Paris",Sculpteur français
Paul Louis Narcisse Grolleron,"14 juin 1848, Seignelay (Yonne)","28 octobre 1901, Paris",Peintre  français
Émile-André Boisseau,"1842, Varzy","1923, Paris",Sculpteur français
Pascal-Adolphe-Jean Dagnan-Bouveret,"7 janvier 1852, Paris","3 juillet 1929, Quincey",Peintre  français
Henry Mosler,"6 juin 1841, Tropplowitz","21 avril 1920, New York",Peintre  américain
Fernand Cormon (Ferdinand Anne Piestre),"22 décembre 1845, Paris","20 mars 1924, Paris",Artiste-peintre français
Albert Pierre René Maignan,"14 octobre 1845, Beaumont-Sur-Sarthe","29 septembre 1908, Saint-Prix",Peintre français
Albert Pierre Dawant,"21 septembre 1852, Paris","1923, Paris",Peintre français
Jules Lefebvre,"14 mars 1836, Tournan-en-Brie, Seine-et-Marne","24 février 1911, Paris",Peintre français
Émile-Antoine Bayard,"2 novembre 1837, La Ferté-sous-Jouarre","6 décembre 1891, Le Caire","Peintre, caricaturiste, illustrateur français"
Ignace Spiridon,1869(?),1900(?),Peintre italien
William Bouguereau,"30 novembre 1852, La Rochelle","19 août 1905, La Rochelle",Peintre français
Charles-Théodore Frère,"21 juin 1814, Paris","24 mai 1888, Paris",Peintre français
Emmanuel Frémiet,"6 décembre 1824, Montrouge","10 septembre 1910, Paris",Sculpteur français
Benjamin-Constant,"10 juin 1845, Paris","26 mai 1902, Paris","Peintre, graveur français"
Adhémar Louis Clermont-Gallerande,1838,1895,Peintre français
Henri Cain,"11 octobre 1857(?), Paris","21 novembre 1937, Paris","Librettiste, peintre, chorégraphe, dramaturge, écrivain français"
